value	carat	price
17499.19995	447	672
17515.19995	445	671
17532.19995	444	669
17548.19995	444	668
17565.19995	443	665
17582.19995	443	660
17598.19995	443	656
17618.19995	443	647
17634.19995	443	640
17649.19995	443	639
17665.19995	443	638
17683.19995	443	637
17816.19995	440	635
17835.19995	438	634
17854.19995	434	632
17865.19995	432	632
17882.19995	429	629
17898.19995	427	629
17916.19995	424	626
17934.19995	420	623
17950.19995	419	621
17965.19995	414	614
17982.19995	412	613
17999.19995	409	608
18016.19995	409	603
18032.19995	407	598
18048.19995	404	590
18065.19995	403	589
18082.19995	401	581
18099.19995	400	579
18117.19995	400	575
18181.19995	399	575
18199.19995	397	575
18216.19995	389	576
18232.19995	386	578
18248.19995	384	578
18266.19995	380	579
18283.19995	378	579
18349.19995	384	579
18366.19995	385	579
18448.19995	385	582
18466.19995	386	587
18482.19995	386	588
18499.19995	387	589
18515.19995	387	589
18532.19995	386	589
18549.19995	385	590
18581.19995	384	590
18598.19995	384	589
18615.19995	381	584
18632.19995	379	580
18649.19995	377	576
18665.19995	376	572
18681.19995	375	562
18698.19995	375	541
18715.19995	375	510
18731.19995	377	479
18749.19995	379	453
18765.19995	381	428
18781.19995	387	408
18799.19995	389	398
18815.19995	390	391
18832.19995	391	387
19131.19995	392	386
19149.19995	395	386
19168.19995	399	384
19184.19995	402	383
19199.19995	404	383
19216.19995	405	383
19432.19995	406	383
19450.19995	408	380
19466.19995	409	379
19485.19995	411	378
19500.19995	413	376
19848.19995	412	376
19866.19995	410	376
19998.19995	409	376
20032.19995	409	376
20098.19995	408	376
20115.19995	407	376
20284.19995	406	376
20316.19995	405	376
20382.19995	404	376
20416.19995	403	376
20448.19995	402	376
20581.19995	401	376
20599.19995	400	376
20615.19995	399	376
20633.19995	396	376
20650.19995	395	376
20665.19995	392	376
20682.19995	390	376
20698.19995	389	376
20782.19995	389	375
20798.19995	388	374
20815.19995	386	370
20833.19995	384	365
20852.19995	380	359
20869.19995	379	356
20882.19995	373	346
20899.19995	369	339
20915.19995	366	333
20932.19995	365	330
20950.19995	363	329
21249.19995	359	329
21265.19995	349	336
21281.19995	343	339
21300.19995	324	351
21315.19995	309	359
21332.19995	302	363
21350.19995	292	369
21364.19995	290	370
21431.19995	292	370
21448.19995	293	370
21465.19995	299	369
21483.19995	302	369
21499.19995	311	369
21515.19995	320	369
21532.19995	326	369
21548.19995	331	369
21566.19995	333	369
21598.19995	331	369
21615.19995	330	369
21634.19995	328	370
21649.19995	322	371
21666.19995	317	373
21682.19995	311	375
21699.19995	305	379
21716.19995	299	381
21731.19995	298	382
21749.19995	294	384
21765.19995	292	386
21783.19995	290	388
21799.19995	287	389
21815.19995	285	392
21832.19995	283	394
21848.19995	279	398
21865.19995	275	401
21882.19995	273	402
21949.19995	272	403
21983.19995	271	403
22348.19995	269	407
22365.19995	269	408
22383.19995	267	410
22399.19995	265	414
22416.19995	262	417
22432.19995	261	419
22448.19995	261	419
22482.19995	260	420
22498.19995	259	422
22515.19995	255	426
22532.19995	252	430
22566.19995	251	430
