x,y,value
963,299,31478.80005
960,296,31495.80005
960,295,31512.80005
959,293,31527.80005
958,290,31544.80005
957,289,31561.80005
957,288,31577.80005
957,287,31594.80005
956,287,32461.80005
959,287,32577.80005
968,287,32595.80005
983,289,32611.80005
1003,292,32628.80005
1026,296,32646.80005
1051,300,32661.80005
1080,303,32678.80005
1098,306,32694.80005
1105,308,32712.80005
1112,310,32728.80005
1111,310,32811.80005
1108,310,32828.80005
1107,310,32844.80005
1106,310,32863.80005
1103,310,32879.80005
1102,310,32894.80005
1093,311,32911.80005
1087,312,32928.80005
1076,313,32945.80005
1065,315,32962.80005
1057,315,32978.80005
1049,316,32994.80005
1047,316,33011.80005
1049,314,33078.80005
1053,311,33094.80005
1055,310,33111.80005
1057,308,33128.80005
1055,308,33212.80005
1046,308,33228.80005
1030,308,33245.80005
1016,308,33262.80005
993,308,33278.80005
975,308,33295.80005
956,308,33313.80005
940,308,33329.80005
925,308,33344.80005
912,307,33361.80005
902,305,33378.80005
899,304,33394.80005
897,303,33411.80005
897,302,33444.80005
900,298,33461.80005
903,297,33478.80005
906,296,33494.80005
914,294,33511.80005
928,292,33528.80005
939,290,33545.80005
950,289,33562.80005
956,289,33580.80005
974,289,33596.80005
982,290,33612.80005
988,292,33628.80005
993,296,33644.80005
996,300,33672.80005
997,302,33688.80005
997,304,33694.80005
996,308,33712.80005
966,324,33744.80005
944,325,33762.80005
925,325,33778.80005
909,325,33795.80005
906,324,33811.80005
921,321,33861.80005
949,318,33878.80005
978,315,33894.80005
1008,314,33912.80005
1043,314,33928.80005
1086,314,33944.80005
1139,318,33961.80005
1201,327,33978.80005
1272,335,33995.80005
1311,341,34011.80005
1339,344,34028.80005
1360,344,34045.80005
1374,344,34061.80005
1378,344,34078.80005
1381,344,34095.80005
1381,343,34145.80005
1381,342,34161.80005
1383,342,34279.80005
1386,342,34298.80005
1396,342,34324.80005
1406,344,34345.80005
1407,344,34362.80005
1409,346,34378.80005
1414,349,34395.80005
1416,351,34411.80005
1419,354,34429.80005
1420,354,34444.80005
1421,356,34462.80005
1423,357,34478.80005
1423,358,34495.80005
1425,360,34511.80005
1426,363,34530.80005
1426,364,34545.80005
1427,366,34562.80005
1427,367,34578.80005
1427,365,34611.80005
1427,363,34628.80005
1424,363,34644.80005
1415,362,34662.80005
1404,362,34678.80005
1397,362,34695.80005
1389,360,34711.80005
1387,358,34728.80005
1383,356,34744.80005
1381,356,34763.80005
1380,356,34895.80005
1379,356,35995.80005
1377,356,36012.80005
1376,356,36029.80005
1374,355,36045.80005
1371,355,36061.80005
1369,355,36078.80005
1366,355,36095.80005
1355,353,36112.80005
1343,352,36128.80005
1335,351,36145.80005
1323,349,36162.80005
1312,346,36178.80005
1311,346,36194.80005
1311,345,36362.80005
1312,344,36879.80005
1313,343,36895.80005
1317,342,36912.80005
1323,341,36928.80005
1341,341,36946.80005
1357,340,36961.80005
1376,339,36978.80005
1392,339,36996.80005
1402,340,37013.80005
1406,341,37033.80005
1406,343,37062.80005
1403,348,37079.80005
1397,351,37101.80005
1373,360,37121.80005
1366,362,37128.80005
1353,364,37144.80005
1343,365,37162.80005
1341,365,37179.80005
1345,365,37244.80005
1363,360,37261.80005
1370,358,37278.80005
1385,352,37295.80005
1390,351,37311.80005
1392,350,37328.80005
1391,350,37462.80005
1388,353,39778.80005
1387,355,39794.80005
1379,360,39813.80005
1368,366,39833.80005
1358,369,39845.80005
1336,373,39862.80005
1325,374,39879.80005
1314,375,39894.80005
1312,375,39911.80005
1309,375,39928.80005
1311,373,39962.80005
1317,369,39978.80005
1331,363,39996.80005
1347,357,40012.80005
1365,353,40030.80005
1385,350,40051.80005
1400,349,40075.80005
1402,349,40096.80005
1402,350,40112.80005
1402,351,40129.80005
1398,359,40145.80005
1392,365,40161.80005
1384,374,40179.80005
1375,384,40197.80005
1366,394,40212.80005
1361,401,40232.80005
1357,410,40248.80005
1356,414,40261.80005
1356,415,40278.80005
1360,416,40296.80005
1361,416,40311.80005
1368,416,40328.80005
1377,416,40346.80005
1383,415,40362.80005
1406,407,40379.80005
1423,400,40394.80005
1435,393,40411.80005
1437,391,40428.80005
1439,390,40445.80005
1439,389,40562.80005
1439,387,40644.80005
1439,384,40661.80005
1439,382,40678.80005
1439,375,40694.80005
1439,371,40712.80005
1439,370,40728.80005
1440,367,40745.80005
